iter	Passed	Remaining
162	343	1761
163	343	1753
164	345	1746
165	346	1739
166	347	1732
167	348	1724
168	349	1716
169	349	1708
170	350	1700
171	351	1693
172	352	1685
173	353	1677
174	354	1670
175	355	1663
176	356	1656
177	357	1649
178	357	1641
179	358	1635
180	359	1626
181	360	1621
182	361	1615
183	362	1608
184	363	1601
185	364	1594
186	365	1588
187	366	1581
188	367	1575
189	367	1568
190	368	1562
191	369	1555
192	370	1549
193	371	1543
194	372	1536
195	373	1530
196	374	1526
197	375	1522
198	376	1516
199	377	1511
200	378	1505
201	379	1499
202	380	1494
203	381	1488
204	382	1482
205	383	1477
206	384	1471
207	385	1466
208	386	1460
209	386	1455
210	387	1449
211	388	1445
212	390	1441
213	391	1437
214	392	1431
215	393	1426
216	393	1421
217	394	1416
218	395	1411
219	396	1406
220	397	1401
221	398	1397
222	399	1393
223	400	1388
224	401	1383
225	402	1378
226	403	1375
227	404	1370
228	405	1366
229	406	1361
230	407	1357
231	408	1352
232	409	1347
233	410	1343
234	411	1338
235	412	1334
236	412	1329
237	413	1325
238	414	1321
239	415	1316
240	416	1312
241	417	1308
242	418	1304
243	419	1301
244	420	1297
245	421	1292
246	422	1288
247	423	1284
248	424	1281
249	425	1277
250	426	1272
251	427	1268
252	428	1264
253	429	1260
254	430	1256
255	430	1252
256	431	1248
257	432	1245
258	434	1242
259	435	1239
260	436	1235
261	437	1231
262	438	1227
263	439	1223
264	439	1220
265	440	1216
266	441	1212
267	442	1208
268	443	1205
269	444	1201
270	445	1198
271	446	1194
272	447	1190
273	448	1187
274	449	1185
275	450	1182
276	451	1178
277	452	1174
278	453	1171
279	454	1167
280	454	1163
281	455	1160
282	456	1156
283	457	1153
284	458	1149
285	459	1146
286	460	1142
287	460	1139
288	461	1136
289	462	1133
290	464	1130
291	465	1127
292	465	1124
293	466	1121
294	467	1117
295	468	1114
296	469	1111
297	470	1108
298	471	1104
299	471	1101
300	472	1097
301	473	1094
302	474	1091
303	475	1088
304	476	1085
305	477	1082
306	478	1080
307	479	1077
308	480	1074
309	481	1071
310	482	1068
311	483	1065
312	484	1062
313	484	1059
314	485	1056
315	486	1053
316	487	1050
317	488	1047
318	489	1044
319	490	1041
320	490	1038
321	491	1035
322	493	1033
323	494	1030
324	494	1028
325	495	1025
326	496	1022
327	497	1019
328	498	1017
329	499	1015
330	501	1012
331	502	1010
332	502	1007
333	503	1004
334	505	1002
335	506	1000
336	507	998
337	508	995
338	509	993
339	510	991
340	511	988
341	512	986
342	513	983
343	514	981
344	515	978
345	516	975
346	517	973
347	518	970
348	519	968
349	519	965
350	520	962
351	521	960
352	522	957
353	523	955
354	524	952
355	525	950
356	526	947
357	527	945
358	528	942
359	528	940
360	529	937
361	530	935
362	531	933
363	532	930
364	533	928
365	534	925
366	535	923
367	536	920
368	537	918
369	538	916
370	538	913
371	539	911
372	540	909
373	541	906
374	542	904
375	543	902
376	544	899
377	545	897
378	546	895
379	547	893
380	548	890
381	549	888
382	550	886
383	551	884
384	552	882
385	553	879
386	553	877
387	554	875
388	555	872
389	556	870
390	557	868
391	558	865
392	559	863
393	559	861
394	560	858
395	561	856
396	562	854
397	563	852
398	564	849
399	565	847
400	566	845
401	567	844
402	568	842
403	569	839
404	570	837
405	571	835
406	572	833
407	573	831
408	573	829
409	574	827
410	575	824
411	576	822
412	577	820
413	578	818
414	579	816
415	580	814
416	581	812
417	582	811
418	583	809
419	584	807
420	585	805
421	586	803
422	587	801
423	588	799
424	589	796
425	589	794
426	590	792
427	591	790
428	592	788
429	593	786
430	594	785
431	596	783
432	597	782
433	598	780
434	599	778
435	599	775
436	600	773
437	601	771
438	602	769
439	603	767
440	604	765
441	604	763
442	605	761
443	606	759
444	607	757
445	608	755
446	609	754
447	610	752
448	611	750
449	612	749
450	613	747
451	614	745
452	615	743
453	616	741
454	617	739
455	618	737
456	619	735
457	619	733
458	620	731
459	621	729
460	622	727
461	623	725
462	624	724
463	625	722
464	626	721
465	627	719
466	628	717
467	629	715
468	630	713
469	631	711
470	632	709
471	632	707
472	633	706
473	634	704
474	635	702
475	636	700
476	637	698
477	638	696
478	639	695
479	640	693
480	641	692
481	642	690
482	643	688
483	644	686
484	644	684
485	645	682
486	646	681
487	647	679
488	648	677
489	649	675
490	649	673
491	650	671
492	651	670
493	652	668
494	653	666
495	654	665
496	655	663
497	656	662
498	657	660
499	658	658
500	659	656
501	660	655
502	661	653
503	662	651
504	662	649
505	663	648
506	664	646
507	665	644
508	666	642
509	667	641
510	668	639
511	669	637
512	670	636
513	671	635
514	672	633
515	673	631
516	674	629
517	675	628
518	676	626
519	676	624
520	677	623
521	678	621
522	679	619
523	680	617
524	681	616
525	681	614
526	683	613
527	683	611
528	684	609
529	685	607
530	686	606
531	687	604
532	688	602
533	689	601
534	689	599
535	690	597
536	691	596
537	692	594
538	693	593
539	694	591
540	695	589
541	696	588
542	696	586
543	697	584
544	698	583
545	699	581
546	700	580
547	701	578
548	702	576
549	703	575
550	703	573
551	704	572
552	705	570
553	706	568
554	707	567
555	708	565
556	709	563
557	709	562
558	710	560
559	711	559
560	712	557
561	713	555
562	714	554
563	715	552
564	716	551
565	716	549
566	717	548
567	718	546
568	719	545
569	720	543
570	721	541
571	722	540
572	723	538
573	723	537
574	724	535
575	725	534
576	726	532
577	727	531
578	728	529
579	729	527
580	729	526
581	730	524
582	731	523
583	732	521
584	733	520
585	734	518
586	735	517
587	735	515
588	736	514
589	737	512
590	738	511
591	739	509
592	740	508
593	741	506
594	742	505
595	742	503
596	743	502
597	744	500
598	745	499
599	746	497
600	747	496
601	748	494
602	748	493
603	749	491
604	750	490
605	751	488
606	752	487
607	753	485
608	754	484
609	754	482
610	755	481
611	756	479
612	757	478
613	758	476
614	759	475
615	759	473
616	760	472
617	761	470
618	762	469
619	763	467
620	764	466
621	765	465
622	766	463
623	766	462
624	767	460
625	768	459
626	769	457
627	770	456
628	771	454
629	771	453
630	772	451
631	773	450
632	774	449
633	775	447
634	776	446
635	777	444
636	777	443
637	778	441
638	779	440
639	780	439
640	781	437
641	782	436
642	783	434
643	784	433
644	784	432
645	785	430
646	786	429
647	787	427
648	788	426
649	789	425
650	790	423
651	791	422
652	791	420
653	792	419
654	793	418
655	794	416
656	795	415
657	796	413
658	797	412
659	798	411
660	799	409
661	799	408
662	800	406
663	801	405
664	802	404
665	803	402
666	804	401
667	805	400
668	806	398
669	806	397
670	807	396
671	808	394
672	809	393
673	810	391
674	811	390
675	812	389
676	813	388
677	814	387
678	815	385
679	816	384
680	817	382
681	818	381
682	819	380
683	820	379
684	821	377
685	822	376
686	823	374
687	823	373
688	824	372
689	825	370
690	826	369
691	827	368
692	828	366
693	829	365
694	830	364
695	831	362
696	831	361
697	832	360
698	833	359
699	834	357
700	835	356
701	836	355
702	837	353
703	838	352
704	839	351
705	839	349
706	840	348
707	841	346
708	842	345
709	843	344
710	844	343
711	844	341
712	845	340
713	846	339
714	847	337
715	848	336
716	849	335
717	850	333
718	851	332
719	851	331
720	852	330
721	853	328
722	854	327
723	855	326
724	856	324
725	857	323
726	858	322
727	858	320
728	859	319
729	860	318
730	861	317
731	862	315
732	863	314
733	864	313
734	865	311
735	865	310
736	866	309
737	867	308
738	868	306
739	869	305
740	870	304
741	871	302
742	872	301
743	872	300
744	873	299
745	874	297
746	875	296
747	876	295
748	877	293
749	878	292
750	878	291
751	879	290
752	880	288
753	881	287
754	882	286
755	883	285
756	884	283
757	884	282
758	885	281
759	886	280
760	887	278
761	888	277
762	889	276
763	890	274
764	891	273
765	892	272
766	892	271
767	893	269
768	894	268
769	895	267
770	896	266
771	897	264
772	898	263
773	899	262
774	899	261
775	900	260
776	901	258
777	902	257
778	903	256
779	904	255
780	905	253
781	906	252
782	906	251
783	907	250
784	908	248
785	909	247
786	910	246
787	911	245
788	912	243
789	913	242
790	913	241
791	914	240
792	915	239
793	916	237
794	917	236
795	918	235
796	919	234
797	920	232
798	920	231
799	921	230
800	922	229
801	923	228
802	924	226
803	925	225
804	926	224
805	926	223
806	927	221
807	928	220
808	929	219
809	930	218
810	931	217
811	932	215
812	933	214
813	933	213
814	934	212
815	935	211
816	936	209
817	937	208
818	938	207
819	939	206
820	940	204
821	941	203
822	942	202
823	943	201
824	943	200
825	944	199
826	945	197
827	946	196
828	947	195
829	948	194
830	949	193
831	950	191
832	951	190
833	951	189
834	952	188
835	953	187
836	954	185
837	955	184
838	956	183
839	957	182
840	958	181
841	959	179
842	959	178
843	960	177
844	961	176
845	962	175
846	963	174
847	964	172
848	965	171
849	966	170
850	967	169
851	967	168
852	968	166
853	969	165
854	970	164
855	971	163
856	972	162
857	973	161
858	974	159
859	974	158
860	975	157
861	976	156
862	977	155
863	978	154
864	979	152
865	980	151
866	981	150
867	982	149
868	983	148
869	984	147
870	985	145
871	986	144
872	987	143
873	988	142
874	989	141
875	990	140
876	991	139
877	992	137
878	993	136
879	994	135
880	995	134
881	996	133
882	997	132
883	998	131
884	1000	129
885	1001	128
886	1002	127
887	1003	126
888	1004	125
889	1005	124
890	1006	123
891	1007	121
892	1008	120
893	1009	119
894	1010	118
895	1012	117
896	1013	116
897	1014	115
898	1015	114
899	1016	112
900	1017	111
901	1018	110
902	1019	109
903	1020	108
904	1021	107
905	1022	106
906	1023	104
907	1024	103
908	1025	102
909	1026	101
910	1026	100
911	1027	99
912	1028	98
913	1029	96
914	1030	95
915	1032	94
916	1033	93
917	1034	92
918	1034	91
919	1036	90
920	1037	88
921	1038	87
922	1039	86
923	1040	85
924	1041	84
925	1042	83
926	1043	82
927	1044	81
928	1045	79
929	1045	78
930	1046	77
931	1047	76
932	1048	75
933	1049	74
934	1050	73
935	1051	71
936	1051	70
937	1052	69
938	1053	68
939	1054	67
940	1055	66
941	1056	65
942	1057	63
943	1058	62
944	1059	61
945	1060	60
946	1060	59
947	1061	58
948	1062	57
949	1063	55
950	1064	54
951	1065	53
952	1066	52
953	1067	51
954	1068	50
955	1069	49
956	1070	48
957	1070	46
958	1071	45
959	1072	44
960	1073	43
961	1074	42
962	1075	41
963	1076	40
964	1077	39
965	1078	37
966	1078	36
967	1079	35
968	1080	34
969	1081	33
970	1082	32
971	1083	31
972	1084	30
973	1085	28
974	1086	27
975	1087	26
976	1088	25
977	1089	24
978	1089	23
979	1090	22
980	1091	21
981	1092	20
982	1093	18
983	1094	17
984	1095	16
985	1096	15
986	1097	14
987	1098	13
988	1099	12
989	1099	11
990	1100	9
991	1101	8
992	1102	7
993	1103	6
994	1104	5
995	1105	4
996	1105	3
997	1106	2
998	1107	1
999	1108	0
